Original	Free w/o position	Free w/ position	Controlled w/o position	Controlled w/ position
Libya almost certainly will keep its chemical warfare program as long as Qadhafi remains in power.	Libya will keep its venom as long as Qadhafi sits on the throne.	Libya almost certainly will keep its venom as long as Qadhafi remains in power.	Libya almost certainly will drive its chemical warfare program as long as Qadhafi remains in power.	Libya almost certainly will drive its chemical warfare program as long as Qadhafi remains in power.
The People's Will, their most effective organization, drew the conclusion that the supreme goal must be to shake the regime by assassinating the tsar.	The People's Will, their sharpest blade, decided the ultimate strike must be to topple the regime by cutting down the tsar.	The People's Will, their sharpest blade, drew the conclusion that the supreme goal must be to shake the regime by assassinating the tsar.	The People's Will, their most effective organization, steered the conclusion that the supreme goal must be to shake the regime by assassinating the tsar.	The People's Will, their most effective organization, steered the conclusion that the supreme goal must be to shake the regime by assassinating the tsar.
He claimed to represent a provisional Government of Burma whose president was Thakin Soe.	He claimed to be the voice of a fledgling Government of Burma, with Thakin Soe as its beacon.	He claimed to represent a fledgling Government of Burma whose president was Thakin Soe.	He claimed to represent a healing Government of Burma whose president was Thakin Soe.	He claimed to represent a healing Government of Burma whose president was Thakin Soe.
He joined LASMO in August 1991 and was subsequently appointed production and operations director in February 1992.	He stepped onto LASMO's stage in August 1991 and was soon handed the conductor's baton in February 1992.	He stepped onto LASMO's stage in August 1991 and was subsequently appointed production and operations director in February 1992.	He steered into LASMO in August 1991 and was subsequently appointed production and operations director in February 1992.	He steered into LASMO in August 1991 and was subsequently appointed production and operations director in February 1992.
Within Switzerland, you can also telephone 162 for a weather forecast.	Within Switzerland, you can dial 162 to hear the sky's whispers.	Within Switzerland, you can also dial 162 to hear the sky's whispers.	Within Switzerland, you can also steer a call to 162 for a weather forecast.	Within Switzerland, you can also steer a call to 162 for a weather forecast.
Bobbie (RH): It was better working with pupils from another school 'cos everyone's good at different things, so the more people in the project, the more things we can do.	Bobbie (RH): It was like a potluck where everyone brought a different dish, so the more hands in the kitchen, the richer the feast.	Bobbie (RH): It was like a potluck where everyone brought a different dish, so the more hands in the kitchen, the richer the feast.	Bobbie (RH): It was better feeding on ideas from pupils of another school 'cos everyone's good at different things, so the more people in the project, the more things we can do.	Bobbie (RH): It was better feeding on ideas from pupils of another school 'cos everyone's good at different things, so the more people in the project, the more things we can do.
It is intolerable that the denial of humanitarian assistance should be used as a weapon of war.	It is a crime that hunger and thirst are wielded as swords in war.	It is intolerable that hunger and thirst should be wielded as swords in war.	It is intolerable that the denial of humanitarian assistance should be used as a spell of war.	It is intolerable that the denial of humanitarian assistance should be used as a spell of war.
Garland surveyed literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass.	Garland mapped the race of 107 mammal species and found that the larger the engine, the faster the sprint.	Garland mapped the race of 107 mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass.	Garland dissected literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass.	Garland dissected literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass.
Homemade roadside bombs, known as improvised explosive devices, are the leading killer of U.S. forces here, accounting for 56% of combat deaths this year.	Homemade thunder, known as improvised explosive devices, is the grim reaper of U.S. forces here, claiming 56% of combat lives this year.	Homemade thunder, known as improvised explosive devices, are the leading killer of U.S. forces here, accounting for 56% of combat deaths this year.	Homemade storms, known as improvised explosive devices, are the leading killer of U.S. forces here, accounting for 56% of combat deaths this year.	Homemade storms, known as improvised explosive devices, are the leading killer of U.S. forces here, accounting for 56% of combat deaths this year.
QN: Does Libya acknowledge producing CW at its Tarhunah plant?	QN: Does Libya admit to brewing poison at its Tarhunah cauldron?	QN: Does Libya acknowledge brewing poison at its Tarhunah plant?	QN: Does Libya acknowledge brewing spells at its Tarhunah plant?	QN: Does Libya acknowledge brewing spells at its Tarhunah plant?
